TimeLimit.truncated,actor_entropy,actor_loss,actor_target_entropy,alpha_loss,alpha_value,batch_reward,critic_entropy,critic_entropy_max,critic_entropy_min,critic_loss,critic_norm_entropy,critic_norm_entropy_max,critic_norm_entropy_min,duration,episode,episode_reward,labeled_feedback,reward_learning_acc,step,success,total_feedback,true_episode_reward,vlm_acc
1.0,0.2560131417192293,-1.2466716721202389,-1.0,0.1250260943415189,0.0995193557683319,0.002119674025141079,0.23116131864412867,1.1850399079948966,0.026435933856651037,0.4549983009846524,1.076954528237834,5.671889293073404,0.12240033803714646,2.293222188949585,11.0,0.21474823472090065,0.0,0.0,1100,0.0,0.0,-2185.2595924187153,0.0
1.0,-0.14940400874242188,-1.8017877769470214,-1.0,0.08395111665129662,0.09868489015828077,0.002119412652682513,0.26999446243047714,1.3661767983436583,0.026747875642031432,0.3995279636979103,1.3507172918319703,6.853545045852661,0.13405673757195471,2.045107126235962,12.0,0.214711160864681,0.0,0.0,1200,0.0,0.0,-2220.2118381893765,0.0
1.0,-0.14398575845640152,-2.039044781923294,-1.0,0.08382837280631066,0.09791543814561347,0.0021184309828095136,0.2926915916800499,1.2671958339214324,0.025000996217131616,0.2122575031220913,1.3537982153892516,5.863200974464417,0.11567203164100646,2.034311532974243,13.0,0.20723380823619664,0.0,0.0,1300,0.0,0.0,-2588.74597428428,0.0
1.0,-0.196063915733248,-2.3108926129341127,-1.0,0.07808481723070144,0.09712263961968409,0.002117457741405815,0.2973019373416901,1.0664783066511154,0.025302562694996596,0.20333023458719254,1.3358176136016846,4.792085041999817,0.11368808269500733,2.056812286376953,14.0,0.21457924437709153,0.0,0.0,1400,0.0,0.0,-2598.860078012844,0.0
1.0,-0.21065954603254794,-2.565412712097168,-1.0,0.07603768799453973,0.09632700310829458,0.0021139164175838234,0.29621914952993394,0.9597447085380554,0.025441725756973028,0.19055897176265715,1.34239284157753,4.349617128372192,0.11529416412115097,2.049973249435425,15.0,0.2067908721510321,0.0,0.0,1500,0.0,0.0,-2647.663801140296,0.0
1.0,-0.19136820210143923,-2.8325234603881837,-1.0,0.07723642438650132,0.09550812705132466,0.002110888483002782,0.2941475588083267,0.9454062688350677,0.023649598956108093,0.19820405885577203,1.3510660779476167,4.342485785484314,0.10862947382032871,2.036961555480957,16.0,0.20645445049740374,0.0,0.0,1600,0.0,0.0,-2757.616779238417,0.0
1.0,-0.17542827581986786,-3.123348066806793,-1.0,0.07806349512189627,0.09467429373703105,0.0021085758390836417,0.2905445882678032,0.9451980006694793,0.0238139177672565,0.18044210612773895,1.3528036403656005,4.400898175239563,0.11087962210178376,2.045276403427124,17.0,0.20670188404619694,0.0,0.0,1700,0.0,0.0,-2691.2397680554477,0.0
1.0,-0.2721491876337677,-3.473011667728424,-1.0,0.06831708148121834,0.09383157636336419,0.0021082772105000913,0.287945881485939,0.9559032267332077,0.023901848401874305,0.22058834239840508,1.36055645942688,4.517095837593079,0.11293364353477955,2.0014445781707764,18.0,0.20724420202896,0.0,0.0,1800,0.0,0.0,-2478.3947753969446,0.0
1.0,-0.26392135171219705,-3.837633249759674,-1.0,0.06852160442620515,0.09309344775278772,0.002108221435919404,0.2843198898434639,0.9406797051429748,0.02431046385318041,0.21500136956572533,1.3688976776599884,4.5292853736877445,0.11704142898321152,1.9849636554718018,19.0,0.21440530917607248,0.0,0.0,1900,0.0,0.0,-2736.666514650326,0.0
1.0,-0.246031591668725,-4.143896322250367,-1.0,0.06959405418485404,0.0922945172535365,0.0021061903587542476,0.277863412797451,0.9438490492105484,0.02455191846936941,0.2138764664530754,1.3621154952049255,4.626760129928589,0.12035749889910222,1.9964680671691895,20.0,0.20691523957066238,0.0,0.0,2000,0.0,0.0,-2660.206946558055,0.0
1.0,0.6655760341882706,0.641639413535595,-1.0,0.1496176877617836,0.08982993894001166,-0.4455679073929787,0.0,0.0,0.0,0.028342771138995887,0.0,0.0,0.0,8.469626665115356,21.0,0.2067240751348436,0.0,0.9499999999999998,2100,0.0,0.0,-2665.5021510264837,0.0
1.0,0.6716973853111267,0.7466456985473633,-1.0,0.14793502628803254,0.08849412925633977,-0.44622015714645386,0.0,0.0,0.0,0.012932707918807865,0.0,0.0,0.0,1.7862651348114014,22.0,-40.44220174476504,20.0,0.9499999999999998,2200,0.0,50.0,-2172.526391311136,0.0
1.0,0.6716075885295868,0.8381444209814072,-1.0,0.1459085848927498,0.08728628617420212,-0.4462026786804199,0.0,0.0,0.0,0.0078060723608359694,0.0,0.0,0.0,1.7648673057556152,23.0,-69.42000187933445,20.0,0.9499999999999998,2300,0.0,50.0,-2584.1656143284176,0.0
1.0,0.6685461628437043,0.9104784250259399,-1.0,0.14377998068928718,0.0861704713821003,-0.4400724500417709,0.0,0.0,0.0,0.005817537913098931,0.0,0.0,0.0,1.7798776626586914,24.0,-31.906493067741394,20.0,0.9499999999999998,2400,0.0,50.0,-2001.8923434378878,0.0
1.0,0.6589238840341568,0.954986537694931,-1.0,0.14121777981519698,0.08512534281463845,-0.4187315213680267,0.0,0.0,0.0,0.00559324327390641,0.0,0.0,0.0,1.7745966911315918,25.0,-13.522651493549347,20.0,0.9499999999999998,2500,0.0,50.0,-1836.3123960068626,0.0
1.0,0.6442189103364945,0.9587537562847137,-1.0,0.13834431916475295,0.08413889294909957,-0.38063676059246065,0.0,0.0,0.0,0.005092695071361959,0.0,0.0,0.0,1.7926993370056152,26.0,36.69254721701145,20.0,0.9499999999999998,2600,0.0,50.0,-1231.139444660878,0.0
1.0,0.6237063091993332,0.9368624883890152,-1.0,0.1350977785885334,0.08320271478152329,-0.33108545988798144,0.0,0.0,0.0,0.005594691631849855,0.0,0.0,0.0,1.8427026271820068,27.0,98.77832293510437,20.0,0.9499999999999998,2700,1.0,50.0,-287.29506788249,0.0
